visitType,trapFunctioning,fishProcessed,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,counterAtEnd,visitTime,siteName,subSiteName,trapVisitID,includeCatch
continue trapping,not recorded,not recorded,1.6,1.6,NA,1996-11-25T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-12-02T08:30:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,1.6,1.6,NA,1996-12-02T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-12-03T08:00:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,1.5,1.5,NA,1996-12-03T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-12-08T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,1.5,1.5,NA,1996-12-08T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-12-09T08:15:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.5,2.5,NA,1996-12-09T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-12-10T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-12-21T08:45:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,6.9,4.5,NA,1996-12-21T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-12-22T09:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.1,4.1,NA,1996-12-22T09:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-12-23T08:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.1,4.1,NA,1996-12-23T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-12-24T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.5,4.5,NA,1996-12-24T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-12-25T10:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.6,36,NA,1996-12-25T10:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-12-26T09:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.9,3.9,NA,1996-12-26T09:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1996-12-27T08:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0,0,NA,1996-12-27T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,4,4,NA,1997-01-18T09:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,2,3.4,NA,1997-03-05T09:00:00Z,adams dam,adams dam,NA,Yes
